Summary,Description,Number of developers,Number of comments,Issue key,Story point
Eclipse Oxygen: Error during step into or step over during debug,"When using eclipse oxygen core for studio an error is shown during debug when a breakpoint is hit and we click on Step Into or Step over buttons.
Check the attached screenshot and logs.",1,6,TISTUD-8979,5
Eclipse Oxygen: Issues with project import,"When using eclipse oxygen core for studio following issues seen during import:

1. File > Import. errors are shown. Check screenshot1. Also check screenshot2 for missing icon in import window
Also attached are the error logs.",1,7,TISTUD-8978,5
Eclipse Oxygen: Issues with menu items,"When using eclipse oxygen core for studio following issues are seen in the menus

1. The Commands menu not showing any option

2. Unexpected items in the menus.
i) ""Open Projects from File System"" under File menu",1,7,TISTUD-8971,5
"Project icons aren't being shown, after migrating to eclipse-oxygen","After migrating to eclipse oxygen (4.7), project icons within *Project Explorer* are not being shown(instead a red square is shown) as shown below.

 !Screen Shot 2017-12-16 at 5.45.06 PM.png|thumbnail! ",1,3,TISTUD-8963,5
Unable to see any android devices or emulators on studio 5.0.0.201711210649,"h5. Description:
1. Install studio 5.0.0.201711210649 from development branch.
2. Launch the studio.

h5.Actual results:
1. Notice that no android devices or emulators is seen.
2. Running {{appc appd android/latest/info}} gives the android info along with the devices & emulator.
https://gist.github.com/lokeshchdhry/597ad4bac9813d555b7a35bc5a407d7e

h5.Expected results:
1. Studio should detect & list the android devices & emulators successfully.",1,6,TISTUD-8922,5
"An internal error occurred during: ""Update iOS info"".","[~ssekhri] encountered this issue while he was working on the studio 5.0. But not sure about the scenario.

{code:java}
!ENTRY org.eclipse.core.jobs 4 2 2017-11-22 13:33:14.606

!MESSAGE An internal error occurred during: ""Update iOS info"".

!STACK 0

java.util.ConcurrentModificationException

at java.util.ArrayList$Itr.checkForComodification(ArrayList.java:901)

at java.util.ArrayList$Itr.next(ArrayList.java:851)

at com.aptana.core.util.CollectionsUtil.find(CollectionsUtil.java:190)

at com.appcelerator.titanium.ios.core.daemon.DaemonIOSSDKLocator.getWatchEmulators(DaemonIOSSDKLocator.java:333)

at com.appcelerator.titanium.ios.core.daemon.DaemonIOSSDKLocator.loadSimulators(DaemonIOSSDKLocator.java:298)

at com.appcelerator.titanium.ios.core.daemon.DaemonIOSSDKLocator.parseTiInfo(DaemonIOSSDKLocator.java:196)

at com.appcelerator.titanium.ios.core.daemon.DaemonIOSSDKLocator.updateTiInfo(DaemonIOSSDKLocator.java:153)

at com.appcelerator.titanium.ios.core.daemon.DaemonIOSSDKLocator.access$1(DaemonIOSSDKLocator.java:150)

at com.appcelerator.titanium.ios.core.daemon.DaemonIOSSDKLocator$1.run(DaemonIOSSDKLocator.java:164)

at org.eclipse.core.internal.jobs.Worker.run(Worker.java:54)
{code}
",1,4,TISTUD-8919,5
Appc daemon: Unexpected token END OF FILE at position 65536,"Studio is failing to parse daemon json data if it's more than 65K characters, not sure where is the limit on this.

      
{code:java}
   ""deviceDir"": ""/Users/kkolipaka/Library/Developer/CoreSimulator/Devices/DD693E6D-D794-4F38-ACB5-58D233807E5F
Unexpected token END OF FILE at position 65536.
	at org.json.simple.parser.JSONParser.parse(JSONParser.java:258)
	at org.json.simple.parser.JSONParser.parse(JSONParser.java:82)
	at org.json.simple.parser.JSONParser.parse(JSONParser.java:76)
	at com.appcelerator.titanium.ios.core.daemon.DaemonIOSSDKLocator.loadTiInfo(DaemonIOSSDKLocator.java:642)
	at com.appcelerator.titanium.ios.core.daemon.DaemonIOSSDKLocator.updateTiInfo(DaemonIOSSDKLocator.java:154)
	at com.appcelerator.titanium.ios.core.daemon.DaemonIOSSDKLocator.access$1(DaemonIOSSDKLocator.java:152)
	at com.appcelerator.titanium.ios.core.daemon.DaemonIOSSDKLocator$1.run(DaemonIOSSDKLocator.java:166)
	at org.eclipse.core.internal.jobs.Worker.run(Worker.java:54)
{code}
",1,3,TISTUD-8913,8
Have a flag to disable appc daemon in the studio,"Have a flag to disable appc daemon in the studio

*Flag:*
-Dappcd.disable

*Location:*
/Applications/Appcelerator\ Studio/AppceleratorStudio.app/Contents/MacOS/AppceleratorStudio.ini
",1,5,TISTUD-8912,5
Command Injection can cause the program to execute malicious commands,"Command Injection can cause the program to execute malicious commands on behalf of an attacker.

*Tags:* High, Command Injection

*No.of issues:*  2


Command injection vulnerabilities take two forms:
* An attacker can change the command that the program executes: the attacker explicitly controls what the command is.
* An attacker can change the environment in which the command executes: the attacker implicitly controls what the command means.

In this case we are primarily concerned with the first scenario, the possibility that an attacker may be able to control the command that is executed. Command injection vulnerabilities of this type occur when:

1. Data enters the application from an untrusted source.
In this case the data enters at getProperty() in LaunchAndroid.java at line 82.

2. The data is used as or as part of a string representing a command that is executed by the application.
In this case the command is executed by exec() in ExternalLaunch.java at line 135.

3. By executing the command, the application gives an attacker a privilege or capability that the attacker would not otherwise have.",1,3,TISTUD-8829,8
Error during update of titanium SDK from studio on Windows OS,"An error is shown during the SDK update process via studio.

Steps to Reproduce:
1. Open Appc Studio on Windows OS
2. Go to Help -> Check for Appcelerator Updates
3. When prompted for a SDK update, select to install the SDK update

Actual Result:
An error is shown during the process related to access on ti.cloudpush module. The updated  SDK version otherwise gets installed. Check the screenshot. Also below are the studio logs:
{code}
!MESSAGE Error encountered during update
!SUBENTRY 1 com.aptana.core 4 4 2017-07-17 12:26:42.485
!MESSAGE Could not write file: C:\ProgramData\Titanium\modules\android\ti.cloudpush\4.0.3\example\app.js.
!STACK 1
org.eclipse.core.runtime.CoreException: Could not write file: C:\ProgramData\Titanium\modules\android\ti.cloudpush\4.0.3\example\app.js.
	at org.eclipse.core.internal.filesystem.Policy.error(Policy.java:55)
	at org.eclipse.core.internal.filesystem.local.LocalFile.openOutputStream(LocalFile.java:406)
	at org.eclipse.core.filesystem.provider.FileStore.copyFile(FileStore.java:221)
	at org.eclipse.core.filesystem.provider.FileStore.copy(FileStore.java:143)
	at org.eclipse.core.internal.filesystem.local.LocalFile.copy(LocalFile.java:117)
	at com.aptana.core.util.IOUtil.copyDirectory(IOUtil.java:351)
	at com.aptana.core.util.IOUtil.copyDirectory(IOUtil.java:322)
	at com.aptana.core.util.IOUtil.copyDirectory(IOUtil.java:322)
	at com.aptana.core.util.IOUtil.copyDirectory(IOUtil.java:322)
	at com.aptana.core.util.IOUtil.copyDirectory(IOUtil.java:322)
	at com.aptana.core.util.IOUtil.copyDirectory(IOUtil.java:322)
	at com.aptana.core.util.IOUtil.copyDirectory(IOUtil.java:322)
	at com.aptana.core.util.IOUtil.copyDirectoryWithProgress(IOUtil.java:197)
	at com.appcelerator.titanium.update.core.TitaniumUpdaterUtil.unpackSDK(TitaniumUpdaterUtil.java:59)
	at com.appcelerator.titanium.update.core.TitaniumUpdaterUtil.installSDK(TitaniumUpdaterUtil.java:104)
	at com.appcelerator.titanium.update.core.release.TitaniumSDKRelease.installSDKs(TitaniumSDKRelease.java:310)
	at com.appcelerator.titanium.update.core.release.TitaniumSDKRelease.install(TitaniumSDKRelease.java:188)
	at com.appcelerator.titanium.update.internal.core.TitaniumReleasesUpdater.installTitaniumUpdates(TitaniumReleasesUpdater.java:443)
	at com.appcelerator.titanium.update.internal.core.TitaniumReleasesUpdater.access$1(TitaniumReleasesUpdater.java:399)
	at com.appcelerator.titanium.update.internal.core.TitaniumReleasesUpdater$6.run(TitaniumReleasesUpdater.java:1080)
	at org.eclipse.core.internal.jobs.Worker.run(Worker.java:54)
Caused by: java.io.FileNotFoundException: C:\ProgramData\Titanium\modules\android\ti.cloudpush\4.0.3\example\app.js (Access is denied)
	at java.io.FileOutputStream.open0(Native Method)
	at java.io.FileOutputStream.open(Unknown Source)
	at java.io.FileOutputStream.<init>(Unknown Source)
	at org.eclipse.core.internal.filesystem.local.LocalFile.openOutputStream(LocalFile.java:397)
	... 19 more
!SUBENTRY 2 org.eclipse.core.filesystem 4 272 2017-07-17 12:26:42.754
!MESSAGE Could not write file: C:\ProgramData\Titanium\modules\android\ti.cloudpush\4.0.3\example\app.js.
!STACK 0
java.io.FileNotFoundException: C:\ProgramData\Titanium\modules\android\ti.cloudpush\4.0.3\example\app.js (Access is denied)
	at java.io.FileOutputStream.open0(Native Method)
	at java.io.FileOutputStream.open(Unknown Source)
	at java.io.FileOutputStream.<init>(Unknown Source)
	at org.eclipse.core.internal.filesystem.local.LocalFile.openOutputStream(LocalFile.java:397)
	at org.eclipse.core.filesystem.provider.FileStore.copyFile(FileStore.java:221)
	at org.eclipse.core.filesystem.provider.FileStore.copy(FileStore.java:143)
	at org.eclipse.core.internal.filesystem.local.LocalFile.copy(LocalFile.java:117)
	at com.aptana.core.util.IOUtil.copyDirectory(IOUtil.java:351)
	at com.aptana.core.util.IOUtil.copyDirectory(IOUtil.java:322)
	at com.aptana.core.util.IOUtil.copyDirectory(IOUtil.java:322)
	at com.aptana.core.util.IOUtil.copyDirectory(IOUtil.java:322)
	at com.aptana.core.util.IOUtil.copyDirectory(IOUtil.java:322)
	at com.aptana.core.util.IOUtil.copyDirectory(IOUtil.java:322)
	at com.aptana.core.util.IOUtil.copyDirectory(IOUtil.java:322)
	at com.aptana.core.util.IOUtil.copyDirectoryWithProgress(IOUtil.java:197)
	at com.appcelerator.titanium.update.core.TitaniumUpdaterUtil.unpackSDK(TitaniumUpdaterUtil.java:59)
	at com.appcelerator.titanium.update.core.TitaniumUpdaterUtil.installSDK(TitaniumUpdaterUtil.java:104)
	at com.appcelerator.titanium.update.core.release.TitaniumSDKRelease.installSDKs(TitaniumSDKRelease.java:310)
	at com.appcelerator.titanium.update.core.release.TitaniumSDKRelease.install(TitaniumSDKRelease.java:188)
	at com.appcelerator.titanium.update.internal.core.TitaniumReleasesUpdater.installTitaniumUpdates(TitaniumReleasesUpdater.java:443)
	at com.appcelerator.titanium.update.internal.core.TitaniumReleasesUpdater.access$1(TitaniumReleasesUpdater.java:399)
	at com.appcelerator.titanium.update.internal.core.TitaniumReleasesUpdater$6.run(TitaniumReleasesUpdater.java:1080)
	at org.eclipse.core.internal.jobs.Worker.run(Worker.java:54)
{code}",1,0,TISTUD-8823,8
Port 8080 remains blocked even after terminating an Arrow app running on Local Server,"*Description*
In Studio, terminating an Arrow app that is running on a local server, does not kill all processes associated with that app. Specifically, port 8080 is not released, and when trying to run any Arrow app a second time, errors are printed in the console, and the app does not run. The configuration for arrow is ""Run Arrow with default configuration"". This occurs only in Studio. For the CLI, when the local server is terminated with Ctrl-C, the app can be run again on a local server. This issue is seen on both Windows and Mac.

*Steps to reproduce*
1. Create a new Arrow app in Studio.
2. Make sure configuration is set as ""Run Arrow with default configuration"".
3. Run the Arrow app on Local Server. This will run fine.
4. Click the red button on the bottom left to terminate execution.
5. Run the app again on Local Server.

*Result*
Errors will be printed in the console. Sometimes it says that port 8080 is not available, while other times it prints ""operation not permitted"". In order to unblock the port, I needed to go to the command line and kill the process that matched ""8080"" in the process name.

*Expected Result*
When the app was terminated, it should have killed all associated process. It should not be necessary to go to the command line to kill them. Therefore when the Arrow app is run a second time, there should be no errors. On the CLI, the problem is not seen.",1,17,TISTUD-8778,8
iOS Debugger: JScore: Debugger does not connect to device with alloy/classic app,"*Description*:
While attempting to debug an alloy app on Device with JSCore set to true, Studio waits for app to be launched, however, even with the app launched, Studio does not acknowledge and continues to wait. Update 11/8/2016: Also tried this with classic app, and the issue is observed.

*Steps to reproduce*:
1. Create a default alloy app and replace the index.js code below to include breakpoint testing.
2. Debug the app using iOS Device. Both the host and the device are on the same network.

*Result*:
1. App appears on iOS device. 
2. After launching the app, appropriate button is seen and when tapped, alert is shown as expected.
3. In Studio, pop-box which shows current status of build is stuck on ""Launch app on device""

*Expected Result*:
1. Studio should have detected that app was launched, and subsequently continued the debug process.

*Code*
// index.js
function doClick(e) {
    alert(a);
}
 
var a = 'Hello';
$.index.open();
{code}

{code}",1,3,TISTUD-8648,8
iOS Debugger: JSCore: Debug on iOS ignores all breakpoints on device,"*Description*
When an app is debugged on an iOS device, it executes to completion without stopping at any break points. The issue occurs with <use-jscore-framework> as true. On the simulator, the app does halt at each breakpoint.

*Steps to reproduce*
1. Create a classic app, and insert a few breakpoints.
2. Build and debug on an iOS device.
3. Observe that app executes without halting at any break point.

*Result*
The app should halt at all break points.

*Expected Result*
The app does not stop at any breakpoint.

*Sample Code*
The bug was discovered while executing tests. This was the code that was run (note that are 2 files):
{code}
// app.js
console.log('console LOG');
console.log(['console LOG', 'ARG1', 'ARG2']);
console.debug('console DEBUG');
console.debug(['console DEBUG', 'ARG1', 'ARG2']);
Ti.API.info('Ti.include.module.js'); //breakpoint here
Ti.include('module.js');
Ti.API.info('require.module');  //breakpoint here
require('module');

// The following code are the contents of module.js:

var a = 1; 
Ti.API.info('a=1');
var b = 2; 
Ti.API.info('b=2');
var c = 3; 
Ti.API.info('c=3');
{code}",1,5,TISTUD-8636,8
