Summary,Description,Number of developers,Number of comments,Issue key,Story point
Test Not Passing:  ManagementResourceIT,11 tests failing,1,0,USERGRID-689,2.0
Test Not Passing: AndOrQueryTest,"Fix AndOrQueryTest:
queryReturnCheck
queryReturnCheckWithShortHand",1,0,USERGRID-687,1.0
Test Not Passing: ConnectionsServiceIT.testEntityConnections,,1,0,USERGRID-685,3.0
UG 1.0 bug for DB setup with separate locks keyspace,"It seems the keyspace does not get created with /database/setup.

cassandra.system.keyspace=sso_ug10
#cassandra.application.keyspace=Usergrid_Applications
cassandra.application.keyspace=sso_ug10_apps
#cassandra.lock.keyspace=Locks
cassandra.lock.keyspace=sso_ug10_Locks",0,0,USERGRID-684,3.0
App Credentials do not work when accessing a collection within an app (2.0),In order to access collections it seems the org credentials are required as app credentials do not work.  ,1,7,USERGRID-670,5.0
Test Not Passing: RolesServiceIT.deleteRoles,,1,1,USERGRID-664,1.0
Test Not Passing: ConnectionsServiceIT,,1,0,USERGRID-663,1.0
Test Not Passing: AppInfoMigrationPluginTest,,1,0,USERGRID-662,1.0
Test Not Passing: ServiceInvocationIT,,1,0,USERGRID-661,1.0
Test Not Passing: GroupServiceIT - Services,,1,0,USERGRID-660,1.0
Test Not Passing: OrganizationIT Failing,,1,1,USERGRID-659,3.0
